Burst,Arrival time,S/N
1,57623.74402686,27
2,57633.67986367,149
3,57633.69515938,7
4,57638.49937435,13
5,57643.45730263,66
6,57645.42958602,10
7,57646.46600650,10
8,57648.43691490,18
9,57649.45175697,34
