obsi,pulse_id,0
58409,2798,58409.356497281595
58409,2857,58409.364395620105
58409,3995-1,58409.370809745145
58409,3995,58409.37080990139
58409,57,58409.376554512215
58432,5095,58432.264608184654
58432,7732,58432.264733873715
58432,8343,58432.2650200047
58432,7500,58432.265249314696
58432,7963,58432.26527846947
58432,8082,58432.26592835691
58432,8082-1,58432.265928584085
58432,3376,58432.266185927736
58432,6782,58432.26646858452
58432,6782,58432.26646875935
58432,8346,58432.26656238432
58432,8713,58432.2665784228
58432,8085,58432.26699961406
58432,7006,58432.26720515546
58432,3832-1,58432.26745626928
58432,3832,58432.26745652026
58432,8218,58432.2675184646
58432,8595,58432.26764089176
58432,8595-1,58432.267641137885
58432,8352,58432.26803501074
58432,8352-1,58432.26803515346
58432,8352-1,58432.26803525792
58432,7627,58432.2680988358
58432,7970,58432.26842122938
58432,8353,58432.26876041468
58432,9,58432.268790005626
58432,8475-1,58432.26886629509
58432,8475,58432.26886654615
58432,7974,58432.26958704147
58432,7853,58432.26960199806
58432,7975,58432.269785856566
58432,7304,58432.27000090207
58432,7305,58432.270222872256
58432,6475,58432.27022332742
58432,8224,58432.27043662407
58432,7206,58432.270449736505
58432,8095,58432.27047785008
58432,14,58432.27063902294
58432,8356,58432.270684478295
58432,5208,58432.271437961834
58432,8605,58432.27143950541
58432,8360,58432.27202235804
58432,3711,58432.27313651681
58432,8104,58432.27354434884
58432,7312,58432.27367794632
58432,7868,58432.27457795726
58432,6367,58432.27483768349
58432,8611,58432.274920770586
58432,7642,58432.27492131141
58432,8108,58432.2749745179
58432,8109,58432.27500062718
58432,8109-1,58432.27500082924
58432,6801,58432.27504541987
58432,6599,58432.275204300364
58432,51,58432.275333048136
58432,5849,58432.27576715282
58432,7411,58432.27627516291
58432,6077,58432.27641708034
58432,8497,58432.27720781471
58432,8371,58432.27788527046
58432,5745,58432.278765670555
58432,7875,58432.278991726904
58432,8738,58432.27912581171
58432,4419,58432.27920534015
58432,5857,58432.27940134026
58432,6920,58432.27995497221
58432,8503,58432.28000647383
58432,8241,58432.2801526913
58432,8242,58432.280247494535
58432,6922,58432.28037613334
58432,8246,58432.2812930732
58432,5331,58432.28185005533
58432,8511,58432.28255062445
58432,7331,58432.282561730244
58432,6819,58432.28264388757
58432,7536,58432.28351811882
58432,8383,58432.283691953045
58432,7537,58432.283963384376
58432,8515,58432.284202904026
58432,8516,58432.284216077154
58432,6616,58432.28429360232
58432,7134,58432.28445931196
58432,7137,58432.28525748277
58432,7137,58432.285257582815
58432,8128,58432.285420831904
58432,8519,58432.28553969937
58432,5761,58432.28557333209
58432,7335,58432.28572867544
58432,4102,58432.287111440106
58432,9438-1,58432.28750562773
58432,9438,58432.287505946944
58432,8392,58432.28852320383
58432,8392,58432.288523303316
58432,8527,58432.28855503053
58432,8527,58432.288555149265
58432,5035,58432.28868779936
58432,7769,58432.28890617369
58432,8394,58432.28910428045
58432,5560,58432.28986462017
58432,5560,58432.28986466121
58432,5560,58432.28986477698
58432,75,58432.28986531606
58432,7900,58432.289952631894
58432,8138,58432.29013506746
58432,8642,58432.29028073567
58432,6727,58432.29128975372
58432,6399,58432.29132318058
58432,8530,58432.29132597605
58432,6097,58432.29132663137
58432,8019,58432.29238911281
58432,7345,58432.2926050893
58432,7156,58432.292807260856
58432,7779,58432.292827031626
58432,8647,58432.29297717437
58432,8147,58432.29343597742
58432,7905,58432.29349304355
58432,8535,58432.29426938609
58432,7055,58432.294344980575
58432,6530,58432.29440072934
58432,8414,58432.29446760264
58432,8416,58432.294861598966
58432,85,58432.29530731673
58432,4935,58432.29574508212
58432,8029,58432.29693828866
58432,8424,58432.297185352065
58432,8287,58432.29735900013
58432,6858,58432.297457462264
58432,8156,58432.297773763705
58432,6860,58432.297774406856
58432,7795,58432.29887138006
58432,2121,58432.29950619375
58432,2121-1,58432.2995063586
58432,7451,58432.29950681361
58432,4554,58432.29960335413
58432,4554-1,58432.299603690255
58432,8165,58432.30015384313
58432,7575,58432.30053816808
58432,7802,58432.30084996038
58432,8780,58432.30098892121
58432,4741,58432.30151295849
58432,8664,58432.30167381855
58432,7918,58432.30244509681
58432,8296,58432.30271212629
58432,8786,58432.30282202598
58432,8037,58432.30316205116
58432,6308,58432.303426950646
58432,7920,58432.30380794181
58432,6426,58432.30385204343
58432,8172,58432.30410510713
58432,7921,58432.30410952311
58432,7259,58432.304185344736
58432,7259,58432.304185393616
58432,8555,58432.304242580874
58432,6656,58432.30459719942
58432,8173,58432.30459794877
58432,7926,58432.3057584418
58432,7470,58432.306075883076
58432,8437,58432.30661284082
58432,6311,58432.30688797322
58432,7815,58432.30711884771
58432,7590-1,58432.30732786843
58432,7590,58432.30732839398
58432,112-1,58432.30738202397
58432,112-1,58432.30738210147
58432,112,58432.3073823645
58432,9923,58432.3078561057
58432,9923-1,58432.30785642907
58432,7173,58432.308201826694
58432,8809,58432.30830315546
58432,7932,58432.3084610406
58432,8563,58432.308758916166
58432,7596,58432.30944622432
58432,8810,58432.30944821587
58432,8566,58432.309860478184
58432,8566,58432.30986062988
58432,8445,58432.310162020854
58432,6669,58432.311296962886
58432,9159,58432.311485518025
58432,8684,58432.31192605864
58432,6146,58432.31217212788
58432,7826,58432.31227985558
58432,6148,58432.313323926566
58432,8325,58432.313332368125
58432,124-1,58432.31360120472
58432,124,58432.31360125603
58432,6886,58432.31369381455
58432,6442,58432.31427121188
58432,7713,58432.314510924625
58432,8198,58432.314644454775
58432,8198,58432.3146445203
58432,8198,58432.314644604725
58432,9063,58432.3155561313
58432,8577,58432.31575853493
58432,8953,58432.316130039515
58432,6241,58432.31613233033
58432,4770-1,58432.316710747415
58432,4770,58432.31671095027
58432,8956,58432.31720081398
58432,8699,58432.31736303708
58432,7488,58432.318188382575
58432,7288,58432.31826087508
58432,7615-1,58432.31826166026
58432,7615-2,58432.31826179885
58432,7615,58432.31826192099
58432,7616,58432.31886710948
58432,7491,58432.31889669289
58432,7289,58432.31893469994
58432,8583,58432.31919400665
58432,8207,58432.3194379387
58432,8585,58432.320004452195
58432,8209,58432.32011106254
58432,8587,58432.320116309915
58432,7494,58432.32030552099
58432,3485,58432.320426272454
58432,8461,58432.320640241815
58435,5527,58435.27937494906
58435,5625,58435.27942133417
58435,4651,58435.2795731706
58435,5214,58435.279596854365
58435,5957,58435.27965962684
58435,5957-1,58435.27965982837
58435,5957-1,58435.27965994187
58435,5528,58435.27972781564
58435,2612,58435.27977873303
58435,4973,58435.27996113597
58435,3800,58435.2800584626
58435,5627,58435.28012047065
58435,5368,58435.28014571048
58435,4029-1,58435.28027252857
58435,4029,58435.28027290264
58435,4974,58435.280560271494
58435,5781,58435.28070445512
58435,5458,58435.28077768992
58435,4033,58435.2809409922
58435,4525,58435.28099652289
58435,4103,58435.281263746954
58435,5536,58435.28154793118
58435,5536-1,58435.28154813989
58435,5217,58435.28177940397
58435,8,58435.281876563815
58435,5633,58435.28202475885
58435,5634,58435.2825416827
58435,6176,58435.282579428706
58435,2315,58435.282635664786
58435,2541,58435.282788104094
58435,4900,58435.282795005885
58435,5713,58435.282938421195
58435,4268,58435.28304187849
58435,4268,58435.28304206457
58435,3958,58435.28304242486
58435,5066,58435.283529462475
58435,5222,58435.28386941959
58435,5461,58435.28410758438
58435,5461,58435.28410770108
58435,5547,58435.28438880003
58435,3678,58435.284557523744
58435,4979,58435.28481754864
58435,5225,58435.28498488122
58435,2770,58435.28526566115
58435,6032,58435.28538087319
58435,4191,58435.285550957626
58435,6183,58435.28558228847
58435,3681,58435.285582546116
58435,4838,58435.285609999715
58435,5464,58435.285681989415
58435,1415,58435.28591765488
58435,5466,58435.28592100008
58435,5156,58435.28592139274
58435,4409,58435.28607585252
58435,4841,58435.28671971367
58435,3739,58435.2870436574
58435,5556,58435.28739193716
58435,5384,58435.28742550887
58435,5468,58435.28742789743
58435,5079,58435.28757023728
58435,5469,58435.28762964901
58435,4116,58435.287713771715
58435,5725,58435.28772691917
58435,4411,58435.28774511387
58435,4987,58435.288270094614
58435,5726,58435.28831272133
58435,2830,58435.288538397384
58435,5728,58435.288730852226
58435,4479,58435.289013920454
58435,5475,58435.289066040335
58435,5396,58435.28954319241
58435,3411-1,58435.289727372954
58435,3411,58435.28972772288
58435,3411,58435.2897278171
58435,3411,58435.28972783431
58435,3411-2,58435.289728279655
58435,4668,58435.28975159605
58435,4416,58435.289765380454
58435,5476,58435.289781280706
58435,5476-1,58435.28978158677
58435,5735,58435.289959279304
58435,4792,58435.290020668144
58435,3821,58435.29012341727
58435,3747,58435.29041283072
58435,3207,58435.29075139946
58435,4996,58435.291305708575
58435,4996-1,58435.29130600362
58435,4670,58435.291437276814
58435,4671,58435.29159005213
58435,3539,58435.29159613359
58435,5741,58435.292221931864
58435,5319,58435.29284867114
58435,5661,58435.292862436145
58435,5981,58435.29293063267
58435,5407,58435.29294956476
58435,5407-1,58435.292949910036
58435,5481,58435.29314710523
58435,4606-1,58435.29377084187
58435,4606,58435.29377160671
58435,6701-1,58435.29398830392
58435,6701,58435.29398887197
58435,4800,58435.29453409107
58435,5410,58435.29460184446
58435,36-1,58435.294917628285
58435,36,58435.29491779422
58435,5012,58435.29517881301
58435,5012,58435.29517882051
58435,5900,58435.295254225224
58435,5902,58435.29558263121
58435,5902,58435.295582703715
58435,5484,58435.29572805107
58435,4493,58435.295813856865
58435,5178,58435.29615470507
58435,5417,58435.296469677145
58435,5578,58435.29665258081
58435,5579,58435.296696161655
58435,4803,58435.29679885658
58435,5015,58435.2968849871
58435,5752,58435.29694202616
58435,5489,58435.29701285227
58435,5419,58435.297356673625
58435,4678,58435.29804279378
58435,3833,58435.29864628023
58435,6061,58435.29882673171
58435,3626,58435.298993250384
58435,6063,58435.29903265803
58435,2486,58435.29905869865
58435,5424,58435.299271356096
58435,4935,58435.29943817815
58435,5919,58435.29966956953
58435,4296,58435.30016193418
58435,5024,58435.30018030581
58435,5757,58435.3002178997
58435,5679,58435.30047190931
58435,2948,58435.30103336974
58435,4687,58435.301151951484
58435,5588,58435.301170308965
58435,5337,58435.30133770491
58435,5684,58435.301545022325
58435,4505,58435.30191299381
58435,6436,58435.302560540134
58435,5434,58435.30316898782
58435,5345,58435.30323397822
58435,4568,58435.303382131286
58435,5592,58435.30345190736
58435,4308,58435.30360601117
58435,5763,58435.3039370487
58435,5107,58435.304030908475
58435,5831,58435.304248002576
